,distance,emf
model1.xmi,-,-
model10.xmi,0.0,-
model100.xmi,-,2.0
model11.xmi,-,4.0
model12.xmi,-,2.0
model13.xmi,-,-
model14.xmi,-,2.0
model15.xmi,-,-
model16.xmi,-,-
model17.xmi,-,2.0
model18.xmi,-,-
model19.xmi,-,-
model2.xmi,-,-
model20.xmi,-,-
model21.xmi,-,2.0
model22.xmi,-,-
model23.xmi,-,3.0
model24.xmi,-,4.0
model25.xmi,-,-
model26.xmi,-,2.0
model27.xmi,-,4.0
model28.xmi,-,-
model29.xmi,-,3.0
model3.xmi,-,-
model30.xmi,-,-
model31.xmi,-,-
model32.xmi,-,3.0
model33.xmi,-,2.0
model34.xmi,-,2.0
model35.xmi,-,3.0
model36.xmi,-,3.0
model37.xmi,0.0,0.0
model38.xmi,-,3.0
model39.xmi,-,-
model4.xmi,-,-
model40.xmi,-,3.0
model41.xmi,-,2.0
model42.xmi,-,3.0
model43.xmi,-,2.0
model44.xmi,-,-
model45.xmi,0.0,0.0
model46.xmi,-,-
model47.xmi,-,5.0
model48.xmi,-,2.0
model49.xmi,-,-
model5.xmi,0.0,0.0
model50.xmi,-,2.0
model51.xmi,-,4.0
model52.xmi,-,-
model53.xmi,-,3.0
model54.xmi,0.0,0.0
model55.xmi,-,-
model56.xmi,-,2.0
model57.xmi,-,-
model58.xmi,0.0,0.0
model59.xmi,-,3.0
model6.xmi,-,-
model60.xmi,-,2.0
model61.xmi,-,-
model62.xmi,0.0,4.0
model63.xmi,-,3.0
model64.xmi,-,3.0
model65.xmi,0.0,0.0
model66.xmi,0.0,0.0
model67.xmi,-,-
model68.xmi,-,2.0
model69.xmi,2.0,2.0
model7.xmi,-,2.0
model70.xmi,-,-
model71.xmi,-,2.0
model72.xmi,-,4.0
model73.xmi,-,-
model74.xmi,-,2.0
model75.xmi,0.0,0.0
model76.xmi,-,2.0
model77.xmi,-,-
model78.xmi,-,2.0
model79.xmi,0.0,0.0
model8.xmi,-,-
model80.xmi,-,-
model81.xmi,-,2.0
model82.xmi,-,-
model83.xmi,-,2.0
model84.xmi,-,2.0
model85.xmi,-,2.0
model86.xmi,-,5.0
model87.xmi,-,2.0
model88.xmi,-,-
model89.xmi,-,-
model9.xmi,-,-
model90.xmi,-,2.0
model91.xmi,-,2.0
model92.xmi,-,2.0
model93.xmi,-,-
model94.xmi,-,-
model95.xmi,-,-
model96.xmi,-,4.0
model97.xmi,-,-
model98.xmi,-,-
model99.xmi,-,4.0
